control_or_mapping,mapping_function,transport,report_id_or_request_code,offset_without_report_id,offset_with_report_id,field_encoding_or_mask,activation_value,deactivation_value,dim_value,logical_state,platform,evidence_status
CUE_PFL,LED CUE PFL C,USB_CONTROL_OUT,0xF4,2,,,0x04,0x00,,EP_0x84_INTERRUPT_IN_41_BYTES_REPORT_ID_INCLUSO_INDICE_38_ESTADOS_04-00,Windows/Mixxx,USB control OUT observed; this does not establish physical LED response.
CUE_PFL,LED CUE PFL A,USB_CONTROL_OUT,0xF4,2,,,0x01,0x00,,EP_0x84_INTERRUPT_IN_41_BYTES_REPORT_ID_INCLUSO_INDICE_38_ESTADOS_01-00,Windows/Mixxx,USB control OUT observed; this does not establish physical LED response.
CUE_PFL,LED CUE PFL B,USB_CONTROL_OUT,0xF4,2,,,0x02,0x00,,EP_0x84_INTERRUPT_IN_41_BYTES_REPORT_ID_INCLUSO_INDICE_38_ESTADOS_02-00,Windows/Mixxx,USB control OUT observed; this does not establish physical LED response.
CUE_PFL,LED CUE PFL D,USB_CONTROL_OUT,0xF4,2,,,0x08,0x00,,EP_0x84_INTERRUPT_IN_41_BYTES_REPORT_ID_INCLUSO_INDICE_38_ESTADOS_08-00,Windows/Mixxx,USB control OUT observed; this does not establish physical LED response.
DIRECT_THRU_LIVE_INPUT,LED DIRECT THRU LIVE INPUT C,USB_CONTROL_OUT,0xF4,2,,,0x04,0x00,,EP_0x84_INTERRUPT_IN_41_BYTES_REPORT_ID_INCLUSO_INDICE_38_ESTADOS_04-00,Windows/Mixxx,USB control OUT observed; this does not establish physical LED response.
DIRECT_THRU_LIVE_INPUT,LED DIRECT THRU LIVE INPUT A,USB_CONTROL_OUT,0xF4,2,,,0x01,0x00,,EP_0x84_INTERRUPT_IN_41_BYTES_REPORT_ID_INCLUSO_INDICE_38_ESTADOS_01-00,Windows/Mixxx,USB control OUT observed; this does not establish physical LED response.
DIRECT_THRU_LIVE_INPUT,LED DIRECT THRU LIVE INPUT B,USB_CONTROL_OUT,0xF4,2,,,0x02,0x00,,EP_0x84_INTERRUPT_IN_41_BYTES_REPORT_ID_INCLUSO_INDICE_38_ESTADOS_02-00,Windows/Mixxx,USB control OUT observed; this does not establish physical LED response.
DIRECT_THRU_LIVE_INPUT,LED DIRECT THRU LIVE INPUT D,USB_CONTROL_OUT,0xF4,2,,,0x08,0x00,,EP_0x84_INTERRUPT_IN_41_BYTES_REPORT_ID_INCLUSO_INDICE_38_ESTADOS_08-00,Windows/Mixxx,USB control OUT observed; this does not establish physical LED response.
