control_or_mapping,mapping_function,transport,report_id_or_request_code,offset_without_report_id,offset_with_report_id,field_encoding_or_mask,activation_value,deactivation_value,dim_value,logical_state,platform,evidence_status
MIXER_FILTER_A_B_C_D,MIXER_FILTER_A_B_C_D,HID_FEATURE_REPORT,0xF4,0;1,1;2,FIXED_PREFIX_PLUS_BITMASK,0x25 0x0F,0x25 0x00,NOT_APPLICABLE,,Windows,Physical light response not reported.
MIXER_FILTER_A_B_C_D,MIXER FILTER STATE ABCD,HID_FEATURE_REPORT,0xF4,0;1,1;2,,0x25 0x0F,0x25 0x00,NOT_APPLICABLE,QuickEffect enabled A=01 B=02 C=04 D=08 OR,Windows/Mixxx,Physical pass stated in source evidence; individual test scope is not reproduced here.
