"id","screen","bytes","hex","status","evidence_ref","coverage_pairs"
"BLACK_0","0","32","84 00 00 60 00 00 00 00 00 00 00 00 01 E0 01 10 01 00 FF 00 00 00 00 00 03 00 00 00 40 00 00 00","OBSERVED_PAYLOAD","D01;D02","65280"
"NO_OP_0","0","28","84 00 00 60 00 00 00 00 00 00 00 00 01 E0 01 10 02 00 FF 00 03 00 00 00 40 00 00 00","DOCUMENTARY_INSTANTIATION_OF_OBSERVED_BODY","D01;D02","65280"
"SYNTHETIC_LITERAL_REPEAT_0","0","40","84 00 00 60 00 00 00 00 00 00 00 00 01 E0 01 10 00 00 00 01 FF FF FF FF 01 00 FE FF 00 00 00 00 03 00 00 00 40 00 00 00","SYNTHETIC_EXAMPLE_NOT_TRANSMITTED","D01;DOCUMENTARY_DERIVATION","65280"
"BLACK_1","1","32","84 00 01 60 00 00 00 00 00 00 00 00 01 E0 01 10 01 00 FF 00 00 00 00 00 03 00 00 00 40 00 01 00","OBSERVED_PAYLOAD","D01;D02","65280"
"NO_OP_1","1","28","84 00 01 60 00 00 00 00 00 00 00 00 01 E0 01 10 02 00 FF 00 03 00 00 00 40 00 01 00","DOCUMENTARY_INSTANTIATION_OF_OBSERVED_BODY","D01;D02","65280"
